      UTCTime       Week   GPSTime         Latitude        Longitude        H-Ell VelBdyX VelBdyY VelBdyZ AccBdyX AccBdyY AccBdyZ           Roll          Pitch        Heading Q
        (sec)    (weeks)     (sec)       (+/-D M S)       (+/-D M S)          (m)   (m/s)   (m/s)   (m/s) (m/s^2) (m/s^2) (m/s^2)          (deg)          (deg)          (deg)  
1621579506.00 2158.00000 456324.00   22 18 18.68892  114 11 21.35016        2.915   0.172   6.323  -0.061  -0.792  -0.592   0.418   0.3078788712   0.7219955768 121.8080369404 2
1621579507.00 2158.00000 456325.00   22 18 18.57863  114 11 21.53861        2.946   0.220   6.496  -0.054  -0.436   0.920   1.448  -0.3182780552   0.5865770019 120.5839355294 2
1621579508.00 2158.00000 456326.00   22 18 18.46463  114 11 21.73722        2.972   0.109   6.863  -0.036   0.536  -0.613  -0.028  -0.4600106250   0.5321460114 119.9773966779 2
1621579509.00 2158.00000 456327.00   22 18 18.34867  114 11 21.94912        2.972   0.167   7.182  -0.054   0.062  -0.099  -0.457  -1.1182990245   0.4514506355 118.8766015140 2
1621579510.00 2158.00000 456328.00   22 18 18.23171  114 11 22.16518        2.998   0.235   7.071  -0.033   0.198  -0.435  -1.245  -1.3848275317   0.5354634370 119.0938384620 2
1621579511.00 2158.00000 456329.00   22 18 18.11536  114 11 22.37350        3.015   0.176   6.851  -0.054   0.478   0.574  -0.058  -1.5319229864   0.5115882857 120.1813008980 2
1621579512.00 2158.00000 456330.00   22 18 17.99820  114 11 22.57250        3.014   0.129   6.603  -0.045   0.389  -0.058  -0.009  -1.8470211259   0.1160984380 121.6067339486 2
1621579513.00 2158.00000 456331.00   22 18 17.88230  114 11 22.76178        3.028   0.161   6.354  -0.051   0.120   0.224  -0.147  -1.2875965938   0.6592280503 122.0021092047 2
1621579514.00 2158.00000 456332.00   22 18 17.77097  114 11 22.94360        3.045   0.128   6.065  -0.041   0.079   0.723   0.034  -1.7247691211   0.2905354388 122.2315730721 2
1621579515.00 2158.00000 456333.00   22 18 17.66410  114 11 23.11368        3.062   0.127   5.639  -0.001   0.695  -1.170  -0.834  -1.3376788347   0.3854802750 122.8138414314 2
1621579516.00 2158.00000 456334.00   22 18 17.56885  114 11 23.26453        3.069   0.151   4.727  -0.069   0.802  -1.286  -0.756  -1.5889208279   0.1936310869 122.9102473100 2
1621579517.00 2158.00000 456335.00   22 18 17.49053  114 11 23.38662        3.100   0.104   3.735  -0.031  -0.263  -1.545  -0.277  -1.0712706487   0.7289742027 123.0394321041 2
1621579518.00 2158.00000 456336.00   22 18 17.43128  114 11 23.47914        3.124   0.063   2.657   0.015  -0.116  -1.282  -0.459  -0.7376545133  -0.1709362286 122.9904556717 2
1621579519.00 2158.00000 456337.00   22 18 17.39223  114 11 23.54048        3.121   0.036   1.658  -0.005  -0.238  -0.882   0.248  -0.6508972440   0.0860124242 122.9661393429 2
1621579520.00 2158.00000 456338.00   22 18 17.36826  114 11 23.57825        3.126   0.027   0.949   0.004  -0.253  -0.901  -0.017  -0.6482043424   0.2242098444 122.9326900668 2
1621579521.00 2158.00000 456339.00   22 18 17.36027  114 11 23.59116        3.136   0.002  -0.039   0.009  -0.300  -0.623  -0.070  -0.7958784845   0.3476593309 122.9293439933 2
1621579522.00 2158.00000 456340.00   22 18 17.36049  114 11 23.59081        3.144  -0.001  -0.006   0.007  -0.181   0.064  -0.020  -0.7769766068   0.4183394045 122.9305758526 2
1621579523.00 2158.00000 456341.00   22 18 17.36055  114 11 23.59064        3.147   0.001  -0.003   0.004  -0.110   0.056   0.009  -0.7743008939   0.4213359738 122.9295330694 2
1621579524.00 2158.00000 456342.00   22 18 17.36057  114 11 23.59053        3.148  -0.003  -0.002   0.001   0.551   0.230   0.033  -0.7773776773   0.4228084753 122.9293497229 2
1621579525.00 2158.00000 456343.00   22 18 17.36060  114 11 23.59045        3.148  -0.002  -0.001   0.001   0.049   0.012   0.045  -0.7781167928   0.4193649990 122.9292809680 2
1621579526.00 2158.00000 456344.00   22 18 17.36061  114 11 23.59043        3.149   0.003  -0.000  -0.001  -0.373  -0.028  -0.029  -0.7766786688   0.4215708865 122.9293669116 2
1621579527.00 2158.00000 456345.00   22 18 17.36061  114 11 23.59043        3.149  -0.001  -0.000  -0.005   0.447   0.089   0.026  -0.7770396322   0.4223558387 122.9300487314 3
1621579528.00 2158.00000 456346.00   22 18 17.36061  114 11 23.59043        3.149  -0.001  -0.002  -0.005  -0.567  -0.011  -0.028  -0.7745128883   0.4214792133 122.9301633230 3
1621579529.00 2158.00000 456347.00   22 18 17.36061  114 11 23.59044        3.149  -0.006  -0.001  -0.006   0.518   0.074   0.065  -0.7766786688   0.4220750894 122.9308050357 3
1621579530.00 2158.00000 456348.00   22 18 17.36061  114 11 23.59044        3.149   0.001  -0.000  -0.004  -0.364   0.127  -0.095  -0.7780996041   0.4244757825 122.9306904441 3
1621579531.00 2158.00000 456349.00   22 18 17.36061  114 11 23.59046        3.146  -0.003   0.001  -0.005   0.366   0.055   0.038  -0.7791481169   0.4225219964 122.9306961737 3
1621579532.00 2158.00000 456350.00   22 18 17.36059  114 11 23.59052        3.140   0.003   0.000  -0.009   0.147  -0.074  -0.049  -0.7770224434   0.4214104583 122.9308623315 3
1621579533.00 2158.00000 456351.00   22 18 17.36056  114 11 23.59057        3.132   0.002   0.003  -0.013  -0.428  -0.062  -0.030  -0.7761228997   0.4205051850 122.9309425456 4
1621579534.00 2158.00000 456352.00   22 18 17.36051  114 11 23.59061        3.124   0.000   0.003  -0.015   0.505   0.018   0.014  -0.7792913563   0.4213818104 122.9309024385 4
1621579535.00 2158.00000 456353.00   22 18 17.36041  114 11 23.59064        3.112   0.007   0.005  -0.017   0.078   0.069  -0.053  -0.7787355873   0.4203562160 122.9315613400 4
1621579536.00 2158.00000 456354.00   22 18 17.35920  114 11 23.59224        3.092   0.009   0.221  -0.022   0.350   0.406  -0.061  -0.8019346484   0.5050565668 122.9290861623 4
1621579537.00 2158.00000 456355.00   22 18 17.34947  114 11 23.60725        3.072   0.033   1.047  -0.030   0.039   1.628  -0.057  -0.8604508280   0.9835049737 122.9223940153 2
1621579538.00 2158.00000 456356.00   22 18 17.31449  114 11 23.66262        3.050   0.066   2.670  -0.026   0.055   1.714   0.079  -1.2352626288   0.7695109668 122.8819145470 3
1621579539.00 2158.00000 456357.00   22 18 17.25304  114 11 23.75953        3.028   0.112   4.008  -0.083   0.022   1.119   0.202  -1.3238877406   0.4815824860 122.8655909794 2
1621579540.00 2158.00000 456358.00   22 18 17.16781  114 11 23.89288        3.021   0.201   5.238  -0.088  -0.983   1.204  -0.151  -0.8302158451   1.0426342181 122.9921745451 2
1621579541.00 2158.00000 456359.00   22 18 17.06054  114 11 24.05838        3.051   0.223   6.296  -0.079   1.218   1.725   1.170  -0.0916904360   1.3246211266 123.2146254091 2
1621579542.00 2158.00000 456360.00   22 18 16.93783  114 11 24.24804        3.062   0.192   6.926  -0.116   0.150   0.527   0.798   0.1379739666   0.6542662358 123.2758115720 2
1621579543.00 2158.00000 456361.00   22 18 16.80463  114 11 24.45727        3.006   0.129   7.551  -0.084  -0.247   0.818  -0.332  -0.9559915403   0.1060945949 122.9542963053 2
1621579544.00 2158.00000 456362.00   22 18 16.66147  114 11 24.68423        2.923   0.233   8.115  -0.075  -0.570  -0.922  -0.128  -0.9508635681   0.2490762127 122.5103686056 2
1621579545.00 2158.00000 456363.00   22 18 16.51127  114 11 24.92272        2.915   0.275   8.369  -0.077  -0.031  -0.859  -0.526   0.0010943494   0.7891118529 122.5656074667 2
1621579546.00 2158.00000 456364.00   22 18 16.35682  114 11 25.16397        2.929   0.271   8.376  -0.089  -0.642  -0.264   0.525   0.6407043248   0.8549676219 123.3972327880 2
1621579547.00 2158.00000 456365.00   22 18 16.20328  114 11 25.40095        2.931   0.229   8.167  -0.098   0.837  -1.416  -0.179   0.2111005700   0.6447379477 123.1196576545 2
1621579548.00 2158.00000 456366.00   22 18 16.05798  114 11 25.63369        2.886   0.260   7.802  -0.054  -0.769  -0.830   0.662  -1.4799557144   0.0127425814 122.2065806531 2
1621579549.00 2158.00000 456367.00   22 18 15.92445  114 11 25.85088        2.898   0.169   7.118  -0.055  -0.308  -0.510   0.188  -1.6004487387   0.2610739489 121.7980159085 2
1621579550.00 2158.00000 456368.00   22 18 15.80420  114 11 26.04799        2.889   0.197   6.365  -0.015  -0.408  -1.721   0.104  -1.2492943652  -0.0122899447 121.4773543489 2
1621579551.00 2158.00000 456369.00   22 18 15.70103  114 11 26.22168        2.872   0.129   5.463  -0.048  -0.106  -0.407   0.224  -0.8840566892   0.5058644373 119.7865387067 2
1621579552.00 2158.00000 456370.00   22 18 15.62507  114 11 26.38089        2.871   0.052   4.790  -0.077  -2.140  -0.945  -0.192  -0.1246526979   0.4798750717 110.6140401757 2
1621579553.00 2158.00000 456371.00   22 18 15.59875  114 11 26.53356        2.864  -0.100   4.266  -0.046  -2.529  -0.100   0.459   0.3297486703   0.6555210134  89.7174214098 2
1621579554.00 2158.00000 456372.00   22 18 15.62984  114 11 26.67128        2.865  -0.094   3.912  -0.030  -1.425  -0.715   0.423   0.0264763797   0.5176960158  66.2577618910 2
1621579555.00 2158.00000 456373.00   22 18 15.70648  114 11 26.78259        2.873  -0.054   4.123  -0.086  -0.792   0.008  -0.320  -0.7260120109   0.9566676305  45.0922884092 2
1621579556.00 2158.00000 456374.00   22 18 15.81982  114 11 26.87599        2.864  -0.018   4.700  -0.062   0.135   0.861   0.027  -1.9957495103   0.7386514599  33.4972784838 2
1621579557.00 2158.00000 456375.00   22 18 15.95771  114 11 26.97085        2.858   0.101   5.326  -0.078  -0.124   0.778   0.631  -1.5410673928   0.5648160649  30.5018436717 2
1621579558.00 2158.00000 456376.00   22 18 16.11402  114 11 27.07387        2.875   0.152   5.838  -0.065   0.469   0.220  -0.087  -0.9898017798   0.7588539518  29.8853754616 2
1621579559.00 2158.00000 456377.00   22 18 16.27764  114 11 27.18204        2.880   0.200   5.971  -0.104  -0.453   0.050   0.905  -0.9592803181   0.8822232242  30.8267565782 2
1621579560.00 2158.00000 456378.00   22 18 16.44273  114 11 27.29529        2.899   0.146   6.002  -0.060  -0.265  -0.450  -0.185  -1.2644777468   0.3475963056  31.4671343171 2
1621579561.00 2158.00000 456379.00   22 18 16.60477  114 11 27.40842        2.879   0.124   5.880  -0.042   0.385   0.314  -0.087  -1.5134336384   0.2043110202  31.9561022290 2
1621579562.00 2158.00000 456380.00   22 18 16.75998  114 11 27.52019        2.882   0.111   5.641  -0.044  -0.887   0.808  -0.119  -1.2973024989   0.7867283485  32.6773644198 2
1621579563.00 2158.00000 456381.00   22 18 16.90759  114 11 27.62852        2.903   0.119   5.362   0.013   0.946   0.089  -0.411  -1.3591303746  -0.0341139071  33.2978834415 2
1621579564.00 2158.00000 456382.00   22 18 17.04628  114 11 27.73362        2.884   0.171   5.095  -0.015   0.377  -0.404   0.825  -0.5761548996   0.6620584619  33.6310641290 2
1621579565.00 2158.00000 456383.00   22 18 17.17798  114 11 27.83288        2.903   0.137   4.815   0.011  -0.899   0.265   0.164  -0.0092475388   0.4671324904  33.4510407897 2
1621579566.00 2158.00000 456384.00   22 18 17.29975  114 11 27.92401        2.914   0.034   4.283   0.021   0.051  -1.129   0.581  -1.0340914174   0.0013521804  34.1462219417 2
1621579567.00 2158.00000 456385.00   22 18 17.40007  114 11 28.00427        2.903   0.152   3.455  -0.013  -0.445  -0.864   0.459  -1.0394371136   0.4262691404  36.2321721977 2
1621579568.00 2158.00000 456386.00   22 18 17.47597  114 11 28.07505        2.906   0.194   2.843  -0.002   0.006  -0.782  -0.125  -0.2463890406   0.3994203381  40.8810944516 2
1621579569.00 2158.00000 456387.00   22 18 17.53638  114 11 28.14138        2.917   0.092   2.479  -0.006  -0.097  -0.612   0.154   1.2705740177   0.9034799584  43.5494276585 2
1621579570.00 2158.00000 456388.00   22 18 17.58973  114 11 28.19702        2.949   0.030   2.103  -0.002  -0.386  -0.458  -0.122   2.0176651460   1.2838723682  41.2829956970 2
1621579571.00 2158.00000 456389.00   22 18 17.63828  114 11 28.24019        2.990   0.011   1.773  -0.009  -0.220  -0.280   0.133   1.9555450618   1.4263268648  37.3101521822 2
1621579572.00 2158.00000 456390.00   22 18 17.68191  114 11 28.27424        3.031  -0.002   1.588  -0.014   0.189  -0.432  -0.119   1.8636999273   1.6943966284  34.3077731216 2
1621579573.00 2158.00000 456391.00   22 18 17.72072  114 11 28.30202        3.075   0.030   1.265   0.034   0.252  -0.409   0.003   1.7863334362   1.7018966459  31.9011097398 2
1621579574.00 2158.00000 456392.00   22 18 17.74994  114 11 28.32036        3.103  -0.031   0.803  -0.004   0.448  -0.596   0.204   1.3219339545   1.8742366211  29.4809474723 2
1621579575.00 2158.00000 456393.00   22 18 17.76113  114 11 28.32678        3.122  -0.001   0.054   0.011  -0.047  -0.419  -0.007   1.0151322439   1.8916258902  28.6802217649 2
1621579576.00 2158.00000 456394.00   22 18 17.76136  114 11 28.32695        3.129  -0.002   0.008   0.010  -0.478  -0.003  -0.081   1.0349222062   1.9499243459  28.6800155001 2
1621579577.00 2158.00000 456395.00   22 18 17.76147  114 11 28.32702        3.131   0.002   0.007   0.010  -0.309  -0.055  -0.064   1.0360222852   1.9466985935  28.6799180973 2
1621579578.00 2158.00000 456396.00   22 18 17.76147  114 11 28.32702        3.130  -0.002   0.005   0.012  -0.357   0.005  -0.054   1.0339768258   1.9460339624  28.6801759283 2
1621579579.00 2158.00000 456397.00   22 18 17.76147  114 11 28.32702        3.130   0.001   0.005   0.010  -0.449  -0.044  -0.006   1.0367556711   1.9456672694  28.6801816579 2
1621579580.00 2158.00000 456398.00   22 18 17.76147  114 11 28.32701        3.131   0.006   0.005   0.009   0.429  -0.104  -0.018   1.0338851526   1.9415419733  28.6810525537 2
1621579581.00 2158.00000 456399.00   22 18 17.76147  114 11 28.32701        3.132   0.003   0.004   0.009  -0.577  -0.021   0.023   1.0372025782   1.9398402887  28.6805197030 2
1621579582.00 2158.00000 456400.00   22 18 17.76147  114 11 28.32701        3.136   0.001   0.003   0.010   0.310   0.113   0.028   1.0348591808   1.9398517478  28.6808863960 2
1621579583.00 2158.00000 456401.00   22 18 17.76147  114 11 28.32702        3.151   0.003   0.002   0.011   0.075   0.051   0.001   1.0394199249   1.9383735167  28.6818031284 2
1621579584.00 2158.00000 456402.00   22 18 17.76147  114 11 28.32702        3.151   0.003   0.001   0.012  -0.537  -0.072  -0.061   1.0365436767   1.9368838264  28.6821927397 2
1621579585.00 2158.00000 456403.00   22 18 17.76147  114 11 28.32702        3.151  -0.002   0.001   0.012   0.041  -0.182   0.030   1.0371853895   1.9343227051  28.6824677595 2
1621579586.00 2158.00000 456404.00   22 18 17.76147  114 11 28.32702        3.151  -0.002   0.004   0.009   0.382   0.070   0.046   1.0389844770   1.9357837475  28.6822672242 2
1621579587.00 2158.00000 456405.00   22 18 17.76147  114 11 28.32702        3.151   0.003  -0.001   0.008   0.432   0.070  -0.051   1.0354435978   1.9357207221  28.6816025932 2
1621579588.00 2158.00000 456406.00   22 18 17.76147  114 11 28.32702        3.151   0.003  -0.001   0.007   0.058  -0.139  -0.046   1.0379703417   1.9352795446  28.6819349087 2
1621579589.00 2158.00000 456407.00   22 18 17.76147  114 11 28.32702        3.151   0.002  -0.001   0.004  -0.187   0.033  -0.024   1.0379703417   1.9372906265  28.6815796749 2
1621579590.00 2158.00000 456408.00   22 18 17.76147  114 11 28.32702        3.151   0.001   0.000   0.004  -0.435   0.153  -0.044   1.0369103697   1.9375198096  28.6813504918 2
1621579591.00 2158.00000 456409.00   22 18 17.76147  114 11 28.32702        3.151   0.001   0.001   0.006  -0.509  -0.179  -0.053   1.0378385614   1.9345748065  28.6817916693 2
1621579592.00 2158.00000 456410.00   22 18 17.76147  114 11 28.32702        3.151   0.002   0.002   0.005  -0.446   0.125  -0.034   1.0376609444   1.9375427279  28.6812874664 2
1621579593.00 2158.00000 456411.00   22 18 17.76147  114 11 28.32702        3.151   0.001   0.001   0.002  -0.427   0.028  -0.018   1.0353633837   1.9374224068  28.6820437707 2
1621579594.00 2158.00000 456412.00   22 18 17.76147  114 11 28.32702        3.151  -0.001   0.004   0.002  -0.490  -0.058  -0.006   1.0351170118   1.9377203448  28.6822844130 2
1621579595.00 2158.00000 456413.00   22 18 17.76147  114 11 28.32702        3.151  -0.002   0.001   0.001  -0.567   0.127   0.009   1.0352774400   1.9382130885  28.6822328468 2
1621579596.00 2158.00000 456414.00   22 18 17.76147  114 11 28.32702        3.151  -0.000  -0.002   0.002  -0.470  -0.133   0.044   1.0336044033   1.9385855111  28.6827370496 2
1621579597.00 2158.00000 456415.00   22 18 17.76147  114 11 28.32702        3.151  -0.002   0.003   0.002  -0.301   0.098   0.067   1.0334210568   1.9403444915  28.6826797539 2
1621579598.00 2158.00000 456416.00   22 18 17.76147  114 11 28.32702        3.151  -0.002  -0.002  -0.001  -0.425   0.194  -0.006   1.0334267863   1.9395308915  28.6826052693 2
1621579599.00 2158.00000 456417.00   22 18 17.76147  114 11 28.32702        3.151  -0.002  -0.001  -0.001  -0.329  -0.208   0.041   1.0298744480   1.9366661025  28.6826625651 2
1621579600.00 2158.00000 456418.00   22 18 17.76147  114 11 28.32702        3.151  -0.002  -0.001  -0.002  -0.355   0.159  -0.005   1.0324298398   1.9420690945  28.6829203961 2
1621579601.00 2158.00000 456419.00   22 18 17.76147  114 11 28.32701        3.151   0.000  -0.001  -0.004  -0.357  -0.109  -0.022   1.0302182227   1.9415534325  28.6829719623 2
1621579602.00 2158.00000 456420.00   22 18 17.76148  114 11 28.32705        3.151   0.000   0.004  -0.005  -0.287   0.008   0.031   1.0326532933   1.9397715337  28.6819864749 2
1621579603.00 2158.00000 456421.00   22 18 17.76145  114 11 28.32712        3.147   0.000  -0.003  -0.009  -0.490   0.064   0.018   1.0343721667   1.9420862832  28.6827026722 2
1621579604.00 2158.00000 456422.00   22 18 17.76142  114 11 28.32713        3.141  -0.002  -0.001  -0.009  -0.454  -0.116   0.076   1.0351170118   1.9447161595  28.6831839567 2
1621579605.00 2158.00000 456423.00   22 18 17.76143  114 11 28.32716        3.137   0.000   0.000  -0.010  -0.327   0.150   0.007   1.0322579524   1.9373937589  28.6831381201 2
1621579606.00 2158.00000 456424.00   22 18 17.76144  114 11 28.32722        3.133  -0.002  -0.002  -0.013  -0.320  -0.157  -0.005   1.0336846174   1.9387917759  28.6826912130 2
1621579607.00 2158.00000 456425.00   22 18 17.76145  114 11 28.32726        3.131  -0.000  -0.001  -0.012  -0.468  -0.018   0.029   1.0354092203   1.9412956015  28.6822099285 2
1621579608.00 2158.00000 456426.00   22 18 17.76146  114 11 28.32728        3.131   0.003  -0.004  -0.012  -0.439   0.054  -0.007   1.0346414569   1.9445156243  28.6813504918 2
1621579609.00 2158.00000 456427.00   22 18 17.76177  114 11 28.32747        3.132   0.003   0.053  -0.012   0.403   0.382  -0.001   1.0307625326   1.9669755698  28.6577618194 3
1621579610.00 2158.00000 456428.00   22 18 17.76665  114 11 28.33037        3.136   0.003   0.446  -0.018   0.055   1.041  -0.006   1.0066925756   2.0775220468  28.3693978906 3
1621579611.00 2158.00000 456429.00   22 18 17.79565  114 11 28.34703        3.159   0.042   1.592  -0.045   0.105   1.268  -0.028   0.7062449670   2.2521252053  27.1557128524 3
1621579612.00 2158.00000 456430.00   22 18 17.85979  114 11 28.38199        3.214   0.029   2.805  -0.061   0.063   1.210   0.231  -0.4188321482   2.4841960307  25.8852992628 3
1621579613.00 2158.00000 456431.00   22 18 17.95557  114 11 28.43109        3.315   0.017   3.540  -0.050   0.388   0.242  -0.272  -2.0421304438   2.3702519139  24.1773579121 3
1621579614.00 2158.00000 456432.00   22 18 18.05979  114 11 28.47918        3.416   0.040   3.304   0.002   1.161  -0.540  -0.209  -3.0813498335   1.1618781944  20.7713071666 3
1621579615.00 2158.00000 456433.00   22 18 18.15924  114 11 28.51298        3.446  -0.003   3.298  -0.039  -0.521   0.900  -0.139  -3.1341020577   0.7610140026  12.8410899974 3
1621579616.00 2158.00000 456434.00   22 18 18.27543  114 11 28.52205        3.432  -0.111   3.823  -0.026  -1.412   0.604  -0.230  -2.4602292061   0.0626472053  -3.9136803042 3
1621579617.00 2158.00000 456435.00   22 18 18.40399  114 11 28.48519        3.382  -0.076   4.318  -0.034  -2.219   0.297   0.336  -1.3804902412  -0.6539854865 -24.0807118026 3
1621579618.00 2158.00000 456436.00   22 18 18.51828  114 11 28.39890        3.269   0.041   4.429   0.018  -0.772   1.316   0.484  -1.8325596711  -0.0175840747 -43.0309700202 3
1621579619.00 2158.00000 456437.00   22 18 18.61987  114 11 28.27715        3.177   0.113   5.156  -0.127  -3.112   1.384  -1.997  -1.3695639360  -0.3818477226 -52.5440174759 3
1621579620.00 2158.00000 456438.00   22 18 18.72677  114 11 28.11824        3.024   0.229   5.956  -0.093   1.836   1.188   0.915  -2.3744918016  -0.0796525927 -56.1944805577 3
1621579621.00 2158.00000 456439.00   22 18 18.84217  114 11 27.94113        2.968   0.160   6.419  -0.021  -0.201   0.564  -0.066  -1.9684652601  -0.0377579187 -56.5254152506 3
1621579622.00 2158.00000 456440.00   22 18 18.96307  114 11 27.75726        2.930   0.162   6.434  -0.090   0.416  -0.096   0.478  -0.8461727197   0.9936635154 -56.2251910955 3
1621579623.00 2158.00000 456441.00   22 18 19.08109  114 11 27.57472        2.963   0.078   6.231  -0.090  -0.579   0.684  -0.616  -0.9844790019   0.4886871626 -57.1735393789 3
1621579624.00 2158.00000 456442.00   22 18 19.19133  114 11 27.39259        2.956   0.063   6.251  -0.052  -1.042   1.627   0.537  -2.1576330057   0.7379123443 -58.7147041745 3
1621579625.00 2158.00000 456443.00   22 18 19.30541  114 11 27.20438        2.950   0.207   6.512  -0.030   0.202  -0.643   0.944  -1.8543377969   0.4076193642 -57.0434435819 3
1621579626.00 2158.00000 456444.00   22 18 19.43128  114 11 27.02559        2.964   0.173   6.327  -0.022   0.318  -0.641  -0.941  -1.0271700872  -0.0059988681 -52.2648609789 3
1621579627.00 2158.00000 456445.00   22 18 19.56491  114 11 26.87364        2.956   0.233   5.468  -0.044   0.885  -2.335  -0.053  -0.8445856266   0.7507867060 -44.5172339999 3
1621579628.00 2158.00000 456446.00   22 18 19.68543  114 11 26.76789        2.992   0.177   4.011  -0.024   0.158  -1.351   0.162   0.0404450908   0.7798413958 -38.5669698947 2
1621579629.00 2158.00000 456447.00   22 18 19.77106  114 11 26.70462        3.020   0.093   2.370   0.004  -0.554  -1.747   0.103   0.5162979988   0.6966593831 -34.7587486136 1
1621579630.00 2158.00000 456448.00   22 18 19.81738  114 11 26.67391        3.017   0.036   1.349  -0.006   0.200  -0.085  -0.055   0.3475561985   1.0097636294 -32.1679767034 3
1621579631.00 2158.00000 456449.00   22 18 19.85697  114 11 26.65047        3.028   0.071   1.640  -0.041   0.054   0.845   0.058  -0.0160943845   1.3460096411 -29.2363063643 3
1621579632.00 2158.00000 456450.00   22 18 19.92205  114 11 26.61823        3.053   0.114   2.751  -0.001   0.370   1.513  -0.093  -0.2502908832   1.1575752814 -24.5790074675 1
1621579633.00 2158.00000 456451.00   22 18 20.01158  114 11 26.58280        3.077   0.083   3.091  -0.038   0.571   0.693  -0.116  -0.4017178989   0.8840853370 -20.1054217580 2
1621579634.00 2158.00000 456452.00   22 18 20.11801  114 11 26.54824        3.079   0.074   3.655  -0.040   0.057   0.014   0.453  -0.7624292084  -0.0276051066 -17.0354508664 2
1621579635.00 2158.00000 456453.00   22 18 20.23223  114 11 26.51613        3.050   0.072   3.536  -0.008   0.265  -0.532  -0.204  -1.6310676033  -0.4333852762 -14.7040168430 1
1621579636.00 2158.00000 456454.00   22 18 20.33578  114 11 26.49104        3.011   0.075   2.931  -0.022  -1.436  -0.841  -0.155  -1.7957070257  -0.1997560057 -13.4683646029 2
1621579637.00 2158.00000 456455.00   22 18 20.41809  114 11 26.47229        2.984   0.029   2.244   0.002  -0.290  -0.748   0.026  -1.9897735605  -0.3406119500 -12.8367531183 2
1621579638.00 2158.00000 456456.00   22 18 20.47832  114 11 26.45934        2.959   0.030   1.551  -0.019   0.210  -1.251  -0.062  -1.9214999096  -0.2323114676 -12.5336928221 2
1621579639.00 2158.00000 456457.00   22 18 20.51403  114 11 26.45165        2.941   0.014   0.775  -0.011   0.368  -0.308  -0.025  -1.9555737097  -0.1180522241 -12.3410185748 2
1621579640.00 2158.00000 456458.00   22 18 20.52962  114 11 26.44821        2.928   0.005   0.307  -0.013   0.459   0.342   0.080  -1.9889427717  -0.0100496797 -12.2367173377 2
1621579641.00 2158.00000 456459.00   22 18 20.54197  114 11 26.44559        2.917   0.013   0.485  -0.015   0.375   0.387   0.042  -1.9812765964  -0.0212280863 -12.1299409230 2
1621579642.00 2158.00000 456460.00   22 18 20.56830  114 11 26.44018        2.894   0.031   1.401  -0.035  -0.051   1.751  -0.133  -1.9397829929   0.3568896810 -12.1673550671 2
1621579643.00 2158.00000 456461.00   22 18 20.63606  114 11 26.42506        2.863   0.023   2.734  -0.051  -0.852   1.316   0.073  -1.9060758858   0.4689487666 -13.4291169939 2
1621579644.00 2158.00000 456462.00   22 18 20.73825  114 11 26.39952        2.839  -0.002   3.739  -0.055   0.325   0.777  -0.463  -2.5194730421   0.5925300334 -14.5334988736 2
1621579645.00 2158.00000 456463.00   22 18 20.87167  114 11 26.36476        2.823   0.117   4.698  -0.078  -0.093   0.987   0.134  -2.0597145186   0.4841436073 -15.5082662409 2
1621579646.00 2158.00000 456464.00   22 18 21.03136  114 11 26.31492        2.785   0.076   5.509  -0.056  -0.729   1.001   1.985  -2.2604101750   0.4793021139 -19.2954542414 2
1621579647.00 2158.00000 456465.00   22 18 21.20839  114 11 26.24025        2.777   0.101   6.189  -0.054  -1.035  -0.106   0.133  -2.3409966889   0.9614632873 -25.5239409224 2
1621579648.00 2158.00000 456466.00   22 18 21.39391  114 11 26.13003        2.796   0.131   6.878  -0.072  -1.060   0.721  -0.508  -2.0020520461   0.5274993237 -34.0568753145 2
1621579649.00 2158.00000 456467.00   22 18 21.57703  114 11 25.97672        2.791   0.084   7.446  -0.094  -2.391   0.445  -0.255  -1.7252675944   0.7785121337 -43.5771019314 2
1621579650.00 2158.00000 456468.00   22 18 21.74513  114 11 25.77900        2.778   0.178   7.881  -0.123   0.584   1.099   0.606  -1.6246390168   0.7174176440 -53.0799908453 2
1621579651.00 2158.00000 456469.00   22 18 21.89622  114 11 25.54767        2.792   0.194   8.262  -0.070  -0.206   1.532   0.641  -1.9746646635   0.5812141170 -57.6044208295 2
1621579652.00 2158.00000 456470.00   22 18 22.04633  114 11 25.30437        2.804   0.191   8.432  -0.090  -2.149   1.798   0.537  -1.5643237497   0.5091933221 -58.1616394740 2
1621579653.00 2158.00000 456471.00   22 18 22.19643  114 11 25.05570        2.818   0.214   8.479  -0.064   0.362   0.446  -0.303  -1.8400711478   0.7506778440 -58.4902823357 2
1621579654.00 2158.00000 456472.00   22 18 22.34543  114 11 24.80769        2.867   0.280   8.387  -0.064   2.148  -0.528  -0.187  -1.7336556965   0.1609151968 -58.4886665947 2
1621579655.00 2158.00000 456473.00   22 18 22.49426  114 11 24.56725        2.875   0.223   8.135  -0.041   0.295   0.717  -1.169  -0.4423577953   0.7012143976 -57.8168277433 2
1621579656.00 2158.00000 456474.00   22 18 22.63740  114 11 24.33585        2.929   0.101   7.676  -0.118  -0.270  -0.061   0.153  -1.2100868633   1.5058362180 -57.5998830038 2
1621579657.00 2158.00000 456475.00   22 18 22.77081  114 11 24.12277        3.118   0.124   6.967  -0.068  -0.544  -0.034   0.657  -1.2780683057   2.3650723755 -57.4558013070 2
